model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,runtime_seconds,dataset,protocol,landmark_percent,snapshot_variant,train_snapshots_per_class,test_snapshots_per_class,feature_space
svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0221154689788818,pkdd_czech,historical,20.0,historical500,400,100,barcode
knn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06817626953125,pkdd_czech,historical,20.0,historical500,400,100,barcode
xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1675853729248047,pkdd_czech,historical,20.0,historical500,400,100,barcode
logistic,0.555,0.555,0.5291005291005291,1.0,0.6920415224913494,0.9848,0.9880309851502472,0.0544500350952148,pkdd_czech,clean,10.0,historical500,500,500,barcode
random_forest,0.533,0.533,0.5170630816959669,1.0,0.6816632583503749,0.62073,0.5719116719803763,0.819652795791626,pkdd_czech,clean,10.0,historical500,500,500,barcode
svm,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.426744,0.4541068404211489,0.049739122390747,pkdd_czech,clean,10.0,historical500,500,500,barcode
knn,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.593804,0.551987474206867,0.1609199047088623,pkdd_czech,clean,10.0,historical500,500,500,barcode
xgb,0.544,0.544,0.5230125523012552,1.0,0.6868131868131868,0.8077960000000001,0.7491782822611099,0.3486514091491699,pkdd_czech,clean,10.0,historical500,500,500,barcode
logistic,0.523,0.523,0.5117707267144319,1.0,0.6770480704129993,0.994544,0.9954668651100202,0.0217549800872802,pkdd_czech,clean,20.0,historical500,500,500,barcode
random_forest,0.562,0.562,0.5330490405117271,1.0,0.6954102920723226,0.644464,0.5846807580787494,0.7126028537750244,pkdd_czech,clean,20.0,historical500,500,500,barcode
svm,0.534,0.534,0.5175983436853002,1.0,0.6821282401091405,0.39192,0.4034317014709866,0.04718017578125,pkdd_czech,clean,20.0,historical500,500,500,barcode
knn,0.534,0.534,0.5175983436853002,1.0,0.6821282401091405,0.5609999999999999,0.5324813631522897,0.1353201866149902,pkdd_czech,clean,20.0,historical500,500,500,barcode
xgb,0.546,0.546,0.5241090146750524,1.0,0.687757909215956,0.75508,0.6741413959994312,0.2534732818603515,pkdd_czech,clean,20.0,historical500,500,500,barcode
logistic,0.98,0.98,0.98,0.98,0.98,0.9985,0.998601549475336,0.0681397914886474,south_german_credit,historical,10.0,historical500,400,100,barcode
random_forest,0.96,0.96,0.9693877551020408,0.95,0.9595959595959596,0.9966,0.9967902155099646,0.7135326862335205,south_german_credit,historical,10.0,historical500,400,100,barcode
svm,0.965,0.965,0.9696969696969696,0.96,0.964824120603015,0.995,0.9956395540461414,0.1218180656433105,south_german_credit,historical,10.0,historical500,400,100,barcode
knn,0.955,0.955,0.9789473684210528,0.93,0.953846153846154,0.9964,0.9964804734024586,0.0738947391510009,south_german_credit,historical,10.0,historical500,400,100,barcode
xgb,0.965,0.965,0.9696969696969696,0.96,0.964824120603015,0.998,0.9980285714344528,0.4069805145263672,south_german_credit,historical,10.0,historical500,400,100,barcode
logistic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0508668422698974,south_german_credit,historical,20.0,historical500,400,100,barcode
random_forest,0.99,0.99,0.99,0.99,0.99,0.9997,0.999699979998,0.7181005477905273,south_german_credit,historical,20.0,historical500,400,100,barcode
svm,0.98,0.98,1.0,0.96,0.979591836734694,0.9994,0.9994097079610872,0.1067867279052734,south_german_credit,historical,20.0,historical500,400,100,barcode
knn,0.98,0.98,1.0,0.96,0.979591836734694,0.9998,0.9998039215686274,0.0704157352447509,south_german_credit,historical,20.0,historical500,400,100,barcode
xgb,0.995,0.995,0.99009900990099,1.0,0.9950248756218906,0.9999,0.99990099009901,0.3812274932861328,south_german_credit,historical,20.0,historical500,400,100,barcode
logistic,0.462,0.462,0.4793926247288503,0.884,0.6216596343178622,0.4581479999999999,0.5727507376075698,0.1236908435821533,south_german_credit,clean,10.0,historical500,500,500,barcode
random_forest,0.5,0.5,0.5,1.0,0.6666666666666666,0.438362,0.4607325817949336,0.8913073539733887,south_german_credit,clean,10.0,historical500,500,500,barcode
