model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,runtime_seconds,dataset,protocol,feature_space
svm,0.8419800095192765,0.7538572538572539,0.1790633608815427,0.6565656565656566,0.2813852813852814,0.8537094218912401,0.3203329413513327,286.14129066467285,polish_bankruptcy,historical,original
knn,0.8110423607805807,0.6992174492174492,0.1383495145631068,0.5757575757575758,0.223091976516634,0.7528305028305028,0.1763156824100166,0.3608310222625732,polish_bankruptcy,historical,original
xgb,0.9186101856258924,0.8084693084693084,0.3269230769230769,0.6868686868686869,0.4429967426710097,0.9053824962915872,0.609289046398655,1.902143955230713,polish_bankruptcy,historical,original
logistic,0.7881960970966206,0.7832445332445332,0.154,0.7777777777777778,0.2570951585976628,0.8451523224250498,0.2150629059774042,0.825023889541626,polish_bankruptcy,clean,original
random_forest,0.9495478343645885,0.7142857142857143,0.4639175257731959,0.4545454545454545,0.4591836734693877,0.8821405866860412,0.4206173562969151,7.274069547653198,polish_bankruptcy,clean,original
svm,0.8476915754402665,0.7568542568542569,0.1851851851851851,0.6565656565656566,0.2888888888888888,0.8547210365392183,0.3171362609298453,195.7130391597748,polish_bankruptcy,clean,original
knn,0.8119942884340791,0.6997169497169498,0.1390243902439024,0.5757575757575758,0.2239685658153241,0.7472300426845881,0.1646712869483187,0.3252279758453369,polish_bankruptcy,clean,original
xgb,0.9152784388386482,0.8115218115218115,0.3179723502304147,0.696969696969697,0.4367088607594936,0.9085258176167268,0.6198399145099206,1.9050891399383545,polish_bankruptcy,clean,original
logistic,0.8812316715542522,0.8727272727272728,0.1958762886597938,0.8636363636363636,0.3193277310924369,0.9332644628099174,0.4071711340469203,0.5544898509979248,taiwan_bankruptcy,historical,original
random_forest,0.9611436950146628,0.7712121212121212,0.423728813559322,0.5681818181818182,0.4854368932038835,0.9433626033057853,0.5047207078366877,6.453087568283081,taiwan_bankruptcy,historical,original
svm,0.939149560117302,0.7708333333333334,0.2857142857142857,0.5909090909090909,0.3851851851851852,0.9198002754820936,0.3258688950377333,19.793704986572266,taiwan_bankruptcy,historical,original
knn,0.8804985337243402,0.8174242424242424,0.1783783783783784,0.75,0.2882096069868995,0.893629476584022,0.2363322791984145,0.1256499290466308,taiwan_bankruptcy,historical,original
xgb,0.9494134897360704,0.8090909090909091,0.3493975903614458,0.6590909090909091,0.4566929133858268,0.953047520661157,0.4843487237179058,1.8397495746612549,taiwan_bankruptcy,historical,original
logistic,0.8775659824046921,0.8488636363636364,0.1846153846153846,0.8181818181818182,0.301255230125523,0.9340909090909092,0.4104869286253638,0.4548821449279785,taiwan_bankruptcy,clean,original
random_forest,0.9611436950146628,0.7602272727272728,0.4210526315789473,0.5454545454545454,0.4752475247524752,0.9475464876033056,0.5075761433446415,6.363879203796387,taiwan_bankruptcy,clean,original
svm,0.9420821114369502,0.7613636363636365,0.2941176470588235,0.5681818181818182,0.3875968992248062,0.9193870523415978,0.3322936045580935,21.38328719139099,taiwan_bankruptcy,clean,original
knn,0.8834310850439883,0.818939393939394,0.1823204419889502,0.75,0.2933333333333333,0.8847796143250688,0.2452234481112332,0.1607770919799804,taiwan_bankruptcy,clean,original
xgb,0.9516129032258064,0.8212121212121212,0.3658536585365853,0.6818181818181818,0.4761904761904761,0.952995867768595,0.4613077795530584,1.7814722061157229,taiwan_bankruptcy,clean,original
logistic,0.69,0.6642857142857143,0.4864864864864865,0.6,0.5373134328358209,0.7253571428571429,0.5719410641278185,0.02266693115234375,south_german_credit,historical,original
random_forest,0.735,0.6488095238095238,0.5777777777777777,0.43333333333333335,0.49523809523809526,0.764345238095238,0.6081330339027737,0.929645299911499,south_german_credit,historical,original
svm,0.75,0.6976190476190476,0.5862068965517241,0.5666666666666667,0.576271186440678,0.7516666666666667,0.6146266277725184,0.5007736682891846,south_german_credit,historical,original
knn,0.545,0.5702380952380952,0.35514018691588783,0.6333333333333333,0.4550898203592814,0.6647619047619048,0.498943775449579,0.06212282180786133,south_german_credit,historical,original
xgb,0.74,0.6666666666666666,0.58,0.48333333333333334,0.5272727272727272,0.7603571428571428,0.6282251703332644,0.7095963954925537,south_german_credit,historical,original
logistic,0.695,0.6726190476190477,0.49333333333333335,0.6166666666666667,0.5481481481481482,0.7242857142857143,0.5749694836850219,0.02238607406616211,south_german_credit,clean,original
