model,best_params,cv_best_f1,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,experiment,dataset,protocol,variant,landmark_percent,setting,features_before,features_after,pca_variance,pca_components
logistic,,,0.98,0.98,0.98,0.98,0.98,0.9992,0.9992038815646272,6,pkdd_czech,historical,historical500,10.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,pkdd_czech,historical,historical500,10.0,default,24.0,7.0,,
knn,,,0.995,0.995,1.0,0.99,0.9949748743718592,0.995,0.995,15,pkdd_czech,historical,historical500,10.0,k=1,,,,
knn,,,0.995,0.995,1.0,0.99,0.9949748743718592,1.0,1.0,15,pkdd_czech,historical,historical500,10.0,k=2,,,,
knn,,,0.995,0.995,1.0,0.99,0.9949748743718592,0.99995,0.99990099009901,15,pkdd_czech,historical,historical500,10.0,k=3,,,,
knn,,,0.995,0.995,1.0,0.99,0.9949748743718592,0.99995,0.99990099009901,15,pkdd_czech,historical,historical500,10.0,k=4,,,,
knn,,,0.995,0.995,1.0,0.99,0.9949748743718592,0.99995,0.99990099009901,15,pkdd_czech,historical,historical500,10.0,k=5,,,,
knn,,,0.995,0.995,1.0,0.99,0.9949748743718592,1.0,1.0,15,pkdd_czech,historical,historical500,10.0,k=6,,,,
knn,,,0.995,0.995,1.0,0.99,0.9949748743718592,1.0,1.0,15,pkdd_czech,historical,historical500,10.0,k=7,,,,
knn,,,0.99,0.99,1.0,0.98,0.98989898989899,1.0,1.0,15,pkdd_czech,historical,historical500,10.0,k=8,,,,
knn,,,0.995,0.995,1.0,0.99,0.9949748743718592,1.0,1.0,15,pkdd_czech,historical,historical500,10.0,k=9,,,,
knn,,,0.985,0.985,1.0,0.97,0.9847715736040608,1.0,1.0,15,pkdd_czech,historical,historical500,10.0,k=10,,,,
knn,,,0.985,0.985,1.0,0.97,0.9847715736040608,1.0,1.0,15,pkdd_czech,historical,historical500,10.0,k=11,,,,
knn,,,0.98,0.98,1.0,0.96,0.979591836734694,1.0,1.0,15,pkdd_czech,historical,historical500,10.0,k=12,,,,
knn,,,0.98,0.98,1.0,0.96,0.979591836734694,1.0,1.0,15,pkdd_czech,historical,historical500,10.0,k=13,,,,
knn,,,0.98,0.98,1.0,0.96,0.979591836734694,1.0,1.0,15,pkdd_czech,historical,historical500,10.0,k=14,,,,
knn,,,0.98,0.98,1.0,0.96,0.979591836734694,1.0,1.0,15,pkdd_czech,historical,historical500,10.0,k=15,,,,
knn,,,0.98,0.98,1.0,0.96,0.979591836734694,1.0,1.0,15,pkdd_czech,historical,historical500,10.0,k=16,,,,
knn,,,0.98,0.98,1.0,0.96,0.979591836734694,1.0,1.0,15,pkdd_czech,historical,historical500,10.0,k=17,,,,
knn,,,0.98,0.98,1.0,0.96,0.979591836734694,1.0,1.0,15,pkdd_czech,historical,historical500,10.0,k=18,,,,
knn,,,0.98,0.98,1.0,0.96,0.979591836734694,1.0,1.0,15,pkdd_czech,historical,historical500,10.0,k=19,,,,
knn,,,0.98,0.98,1.0,0.96,0.979591836734694,1.0,1.0,15,pkdd_czech,historical,historical500,10.0,k=20,,,,
linear_regression,,,0.98,0.98,1.0,0.96,0.979591836734694,,,19,pkdd_czech,historical,historical500,10.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,pkdd_czech,historical,revised,20.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,pkdd_czech,historical,revised,20.0,default,24.0,5.0,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,20.0,k=1,,,,
knn,,,0.6666666666666666,0.5,0.0,0.0,0.0,1.0,1.0,15,pkdd_czech,historical,revised,20.0,k=2,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,20.0,k=3,,,,
knn,,,0.6666666666666666,0.5,0.0,0.0,0.0,1.0,1.0,15,pkdd_czech,historical,revised,20.0,k=4,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,20.0,k=5,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,20.0,k=6,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,20.0,k=7,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,20.0,k=8,,,,
linear_regression,,,1.0,1.0,1.0,1.0,1.0,,,19,pkdd_czech,historical,revised,20.0,default,,,,
logistic,"{""C"": 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,pkdd_czech,historical,historical500,20.0,default,,,,
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,pkdd_czech,historical,historical500,20.0,default,,,,
svm,"{""C"": 0.5, ""kernel"": ""linear""}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,pkdd_czech,historical,historical500,20.0,default,,,,
knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,pkdd_czech,historical,historical500,20.0,default,,,,
xgb,"{""max_depth"": 3, ""n_estimators"": 100}",0.9961977186311788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,pkdd_czech,historical,historical500,20.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,pkdd_czech,historical,historical500,20.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,pkdd_czech,historical,historical500,20.0,default,24.0,7.0,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=1,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=2,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=3,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=4,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=5,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=6,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=7,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=8,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=9,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=10,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=11,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=12,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=13,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=14,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=15,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=16,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=17,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=18,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=19,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,historical500,20.0,k=20,,,,
linear_regression,,,1.0,1.0,1.0,1.0,1.0,,,19,pkdd_czech,historical,historical500,20.0,default,,,,
logistic,"{""C"": 0.1}",0.9333333333333332,0.5,0.5,0.5,1.0,0.6666666666666666,1.0,1.0,4,pkdd_czech,clean,revised,10.0,default,,,,
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1}",0.9333333333333332,0.5,0.5,0.5,1.0,0.6666666666666666,0.9,0.8333333333333334,4,pkdd_czech,clean,revised,10.0,default,,,,
svm,"{""C"": 0.5, ""kernel"": ""linear""}",0.9333333333333332,0.6,0.6,0.5555555555555556,1.0,0.7142857142857143,1.0,1.0,4,pkdd_czech,clean,revised,10.0,default,,,,
knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.9333333333333332,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,4,pkdd_czech,clean,revised,10.0,default,,,,
xgb,"{""max_depth"": 3, ""n_estimators"": 100}",0.8412698412698413,0.5,0.5,0.5,1.0,0.6666666666666666,0.9,0.8333333333333334,4,pkdd_czech,clean,revised,10.0,default,,,,
logistic,,,0.8,0.8,0.7142857142857143,1.0,0.8333333333333334,1.0,1.0,6,pkdd_czech,clean,revised,10.0,default,,,,
logistic,,,0.6,0.6,0.5555555555555556,1.0,0.7142857142857143,1.0,1.0,11,pkdd_czech,clean,revised,10.0,default,24.0,9.0,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=1,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=2,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=3,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=4,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=5,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=6,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=7,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=8,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=9,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=10,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=11,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=12,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=13,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=14,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=15,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=16,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=17,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=18,,,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=19,,,,
knn,,,0.5,0.5,0.0,0.0,0.0,0.5,0.5,15,pkdd_czech,clean,revised,10.0,k=20,,,,
linear_regression,,,0.5,0.5,0.5,1.0,0.6666666666666666,,,19,pkdd_czech,clean,revised,10.0,default,,,,
logistic,"{""C"": 1.0}",0.9940059820299342,0.555,0.555,0.5291005291005291,1.0,0.6920415224913494,0.9848,0.9880309851502472,4,pkdd_czech,clean,historical500,10.0,default,,,,
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1}",0.9940059641373432,0.533,0.533,0.5170630816959669,1.0,0.6816632583503749,0.615186,0.5679866145610134,4,pkdd_czech,clean,historical500,10.0,default,,,,
svm,"{""C"": 0.5, ""kernel"": ""linear""}",0.9910208355093444,0.568,0.5680000000000001,0.5364806866952789,1.0,0.6983240223463687,0.995408,0.9959529148895904,4,pkdd_czech,clean,historical500,10.0,default,,,,
knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.9879878259845892,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.5855480000000001,0.5469151387481765,4,pkdd_czech,clean,historical500,10.0,default,,,,
xgb,"{""max_depth"": 3, ""n_estimators"": 200}",0.9929687273962876,0.544,0.544,0.5230125523012552,1.0,0.6868131868131868,0.80957,0.7538486492760715,4,pkdd_czech,clean,historical500,10.0,default,,,,
logistic,,,0.631,0.631,0.5753739930955121,1.0,0.7304601899196493,0.996136,0.9965100691015292,6,pkdd_czech,clean,historical500,10.0,default,,,,
logistic,,,0.543,0.543,0.522466039707419,1.0,0.6863417982155113,0.94326,0.9684986535882838,11,pkdd_czech,clean,historical500,10.0,default,24.0,8.0,,
knn,,,0.567,0.567,0.5359056806002144,1.0,0.6978367062107467,0.567,0.5359056806002144,15,pkdd_czech,clean,historical500,10.0,k=1,,,,
knn,,,0.57,0.57,0.5382096069868996,0.986,0.6963276836158192,0.570546,0.5379587515733701,15,pkdd_czech,clean,historical500,10.0,k=2,,,,
knn,,,0.545,0.545,0.5237592397043295,0.992,0.6855563234277816,0.5782700000000001,0.5426292803561108,15,pkdd_czech,clean,historical500,10.0,k=3,,,,
knn,,,0.556,0.556,0.5299145299145299,0.992,0.6908077994428969,0.580464,0.543878162676176,15,pkdd_czech,clean,historical500,10.0,k=4,,,,
knn,,,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.5855480000000001,0.5469151387481765,15,pkdd_czech,clean,historical500,10.0,k=5,,,,
knn,,,0.553,0.553,0.5279831045406547,1.0,0.691085003455425,0.5924999999999999,0.5511439411001636,15,pkdd_czech,clean,historical500,10.0,k=6,,,,
knn,,,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.59368,0.5518485318299272,15,pkdd_czech,clean,historical500,10.0,k=7,,,,
knn,,,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.59968,0.5555460925947252,15,pkdd_czech,clean,historical500,10.0,k=8,,,,
knn,,,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.606688,0.5599259879858716,15,pkdd_czech,clean,historical500,10.0,k=9,,,,
knn,,,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.608968,0.5613719346575828,15,pkdd_czech,clean,historical500,10.0,k=10,,,,
knn,,,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.61061,0.5625871664918782,15,pkdd_czech,clean,historical500,10.0,k=11,,,,
knn,,,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.6110079999999999,0.5628716279281066,15,pkdd_czech,clean,historical500,10.0,k=12,,,,
knn,,,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.613028,0.564157271765947,15,pkdd_czech,clean,historical500,10.0,k=13,,,,
knn,,,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.618,0.567379659570679,15,pkdd_czech,clean,historical500,10.0,k=14,,,,
knn,,,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.620036,0.5686953132223671,15,pkdd_czech,clean,historical500,10.0,k=15,,,,
knn,,,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.622004,0.5699960899786384,15,pkdd_czech,clean,historical500,10.0,k=16,,,,
knn,,,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.622946,0.5706433079626206,15,pkdd_czech,clean,historical500,10.0,k=17,,,,
knn,,,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.62378,0.5712931365604101,15,pkdd_czech,clean,historical500,10.0,k=18,,,,
knn,,,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.624818,0.5719670903138739,15,pkdd_czech,clean,historical500,10.0,k=19,,,,
knn,,,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,0.6277699999999999,0.5739436359073179,15,pkdd_czech,clean,historical500,10.0,k=20,,,,
linear_regression,,,0.552,0.552,0.5274261603375527,1.0,0.6906077348066298,,,19,pkdd_czech,clean,historical500,10.0,default,,,,
logistic,,,0.6,0.6,0.5555555555555556,1.0,0.7142857142857143,1.0,1.0,6,pkdd_czech,clean,revised,20.0,default,,,,
logistic,,,0.6,0.6,0.5555555555555556,1.0,0.7142857142857143,1.0,1.0,11,pkdd_czech,clean,revised,20.0,default,24.0,5.0,,
knn,,,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,15,pkdd_czech,clean,revised,20.0,k=1,,,,
knn,,,0.8,0.8,0.7142857142857143,1.0,0.8333333333333334,0.8,0.7142857142857143,15,pkdd_czech,clean,revised,20.0,k=2,,,,
knn,,,0.8,0.8,0.7142857142857143,1.0,0.8333333333333334,0.8,0.7142857142857143,15,pkdd_czech,clean,revised,20.0,k=3,,,,
knn,,,0.8,0.8,0.7142857142857143,1.0,0.8333333333333334,0.8,0.7142857142857143,15,pkdd_czech,clean,revised,20.0,k=4,,,,
knn,,,0.8,0.8,0.7142857142857143,1.0,0.8333333333333334,0.8,0.7142857142857143,15,pkdd_czech,clean,revised,20.0,k=5,,,,
knn,,,0.8,0.8,0.7142857142857143,1.0,0.8333333333333334,0.9,0.8333333333333334,15,pkdd_czech,clean,revised,20.0,k=6,,,,
knn,,,0.8,0.8,0.7142857142857143,1.0,0.8333333333333334,0.8,0.7142857142857143,15,pkdd_czech,clean,revised,20.0,k=7,,,,
knn,,,0.8,0.8,0.7142857142857143,1.0,0.8333333333333334,0.8,0.7142857142857143,15,pkdd_czech,clean,revised,20.0,k=8,,,,
knn,,,0.8,0.8,0.7142857142857143,1.0,0.8333333333333334,0.8,0.7142857142857143,15,pkdd_czech,clean,revised,20.0,k=9,,,,
knn,,,0.8,0.8,0.7142857142857143,1.0,0.8333333333333334,0.8,0.7142857142857143,15,pkdd_czech,clean,revised,20.0,k=10,,,,
knn,,,0.8,0.8,0.7142857142857143,1.0,0.8333333333333334,0.8,0.7142857142857143,15,pkdd_czech,clean,revised,20.0,k=11,,,,
linear_regression,,,0.6,0.6,0.5555555555555556,1.0,0.7142857142857143,,,19,pkdd_czech,clean,revised,20.0,default,,,,
logistic,"{""C"": 0.1}",0.998998998998999,0.542,0.542,0.5219206680584552,1.0,0.6858710562414266,0.970664,0.979258597957522,4,pkdd_czech,clean,historical500,20.0,default,,,,
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1}",0.998998998998999,0.565,0.565,0.5347593582887701,1.0,0.6968641114982579,0.6444880000000001,0.5846857239014744,4,pkdd_czech,clean,historical500,20.0,default,,,,
svm,"{""C"": 0.5, ""kernel"": ""linear""}",0.998998998998999,0.565,0.565,0.5347593582887701,1.0,0.6968641114982579,0.972472,0.980745526231596,4,pkdd_czech,clean,historical500,20.0,default,,,,
knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.998998998998999,0.532,0.532,0.5165289256198347,1.0,0.6811989100817438,0.55,0.5263157894736842,4,pkdd_czech,clean,historical500,20.0,default,,,,
xgb,"{""max_depth"": 3, ""n_estimators"": 100}",0.998015873015873,0.546,0.546,0.5241090146750524,1.0,0.687757909215956,0.702614,0.6278889531589079,4,pkdd_czech,clean,historical500,20.0,default,,,,
logistic,,,0.516,0.516,0.508130081300813,1.0,0.6738544474393531,0.950972,0.971681416489144,6,pkdd_czech,clean,historical500,20.0,default,,,,
logistic,,,0.521,0.521,0.5107252298263534,1.0,0.676132521974307,0.97436,0.9836000618985552,11,pkdd_czech,clean,historical500,20.0,default,24.0,6.0,,
knn,,,0.532,0.532,0.5165289256198347,1.0,0.6811989100817438,0.532,0.5165289256198347,15,pkdd_czech,clean,historical500,20.0,k=1,,,,
knn,,,0.535,0.535,0.5181347150259067,1.0,0.6825938566552902,0.5349999999999999,0.5181347150259067,15,pkdd_czech,clean,historical500,20.0,k=2,,,,
knn,,,0.532,0.532,0.5165289256198347,1.0,0.6811989100817438,0.544,0.5230125523012552,15,pkdd_czech,clean,historical500,20.0,k=3,,,,
knn,,,0.536,0.536,0.5186721991701245,1.0,0.6830601092896175,0.5469999999999999,0.5246589716684156,15,pkdd_czech,clean,historical500,20.0,k=4,,,,
knn,,,0.532,0.532,0.5165289256198347,1.0,0.6811989100817438,0.55,0.5263157894736842,15,pkdd_czech,clean,historical500,20.0,k=5,,,,
knn,,,0.536,0.536,0.5186721991701245,1.0,0.6830601092896175,0.5569999999999999,0.5302226935312832,15,pkdd_czech,clean,historical500,20.0,k=6,,,,
knn,,,0.534,0.534,0.5175983436853002,1.0,0.6821282401091405,0.5609999999999999,0.5324813631522897,15,pkdd_czech,clean,historical500,20.0,k=7,,,,
knn,,,0.537,0.537,0.5192107995846313,1.0,0.683526999316473,0.562,0.5330490405117271,15,pkdd_czech,clean,historical500,20.0,k=8,,,,
knn,,,0.531,0.531,0.5159958720330238,1.0,0.6807351940095303,0.565,0.5347593582887701,15,pkdd_czech,clean,historical500,20.0,k=9,,,,
knn,,,0.539,0.539,0.5202913631633714,1.0,0.6844626967830253,0.5700000000000001,0.5376344086021505,15,pkdd_czech,clean,historical500,20.0,k=10,,,,
knn,,,0.536,0.536,0.5186721991701245,1.0,0.6830601092896175,0.571,0.5382131324004306,15,pkdd_czech,clean,historical500,20.0,k=11,,,,
knn,,,0.538,0.538,0.5197505197505198,1.0,0.6839945280437757,0.5720000000000001,0.5387931034482759,15,pkdd_czech,clean,historical500,20.0,k=12,,,,
knn,,,0.537,0.537,0.5192107995846313,1.0,0.683526999316473,0.575,0.5405405405405406,15,pkdd_czech,clean,historical500,20.0,k=13,,,,
knn,,,0.539,0.539,0.5202913631633714,1.0,0.6844626967830253,0.5800000000000001,0.5434782608695652,15,pkdd_czech,clean,historical500,20.0,k=14,,,,
knn,,,0.538,0.538,0.5197505197505198,1.0,0.6839945280437757,0.5830000000000001,0.5452562704471101,15,pkdd_czech,clean,historical500,20.0,k=15,,,,
knn,,,0.541,0.541,0.5213764337851929,1.0,0.6854009595613434,0.587,0.547645125958379,15,pkdd_czech,clean,historical500,20.0,k=16,,,,
knn,,,0.54,0.54,0.5208333333333334,1.0,0.684931506849315,0.5910000000000001,0.5500550055005501,15,pkdd_czech,clean,historical500,20.0,k=17,,,,
knn,,,0.541,0.541,0.5213764337851929,1.0,0.6854009595613434,0.592,0.5506607929515418,15,pkdd_czech,clean,historical500,20.0,k=18,,,,
knn,,,0.54,0.54,0.5208333333333334,1.0,0.684931506849315,0.5920000000000001,0.5506607929515418,15,pkdd_czech,clean,historical500,20.0,k=19,,,,
